k,accuracy,F1
1,0.9728624078624077,0.8849941442985874
11,0.9616175266175269,0.8416544790968349
21,0.9581572481572481,0.8285252118474602
31,0.942911547911548,0.7770988406329502
41,0.9344799344799345,0.749665178085481
51,0.9212899262899261,0.7072662194858982
