k,accuracy,F1
1,0.8766666666666667,0.7630846930846932
11,0.7683333333333333,0.32805194805194804
21,0.785,0.14603174603174604
31,0.785,0.14603174603174604
41,0.755,0.0
51,0.755,0.0
