k,accuracy,F1
1,0.7495959595959596,0.7920043078869412
11,0.8049639249639249,0.8480693659424039
21,0.8008946608946609,0.8449467295607516
31,0.8086724386724387,0.8517318264531811
41,0.7951515151515152,0.8392019296515363
51,0.7882972582972583,0.8329845836422403
