k,accuracy,F1
1,0.7100470957613816,0.496385353780237
11,0.7335426478283622,0.2707430340557275
21,0.6952380952380953,0.023529411764705882
31,0.691156462585034,0.0
41,0.691156462585034,0.0
51,0.691156462585034,0.0
